site, year, err_start, err_end
UPE_U, 2019, 250, 260
UPE_U, 2011, 245, 255
UPE_U, 2012, 245, 255
UPE_L, 2011, 260, 320
UPE_L, 2015, 250, 260
UPE_L, 2012, 260, 310
UPE_L, 2013, 54, 61
TAS_L, 2012, 30, 70
TAS_A, 2017, 280, 330
SCO_U, 2009, 300, 330
SCO_U, 2011, 250, 270
SCO_L, 2018, 258, 300
SCO_L, 2019, 120, 162
SCO_L, 2015, 0, 50
SCO_L, 2015, 75, 110
QAS_U, 2010,292,295
QAS_U, 2008, 300,330
QAS_U, 2017, 0,140
QAS_M, 2017, 200,220
QAS_M, 2017, 315, 340
QAS_L, 2013,160,180
QAS_L, 2019,140,175
NUK_U, 2011, 275,300
NUK_U, 2014, 40,100
NUK_U, 2016, 265,300
MIT,2016,0,150
MIT,2018,275,320
KPC_U,2014,240,365
KPC_U,2016,240,365
KPC_U,2015,0,200
KPC_U,2017,0,200
KPC_U,2019,180,200
KAN_M, 2015,0,200
KAN_L,2009,260,280
KAN_L,2010,275,285
KAN_L,2014,281,320
KAN_L,2012,280,300
KAN_L,2019,280,300